FLY524_P2_ul,FLY524_P1_ul,FLY524_P2_dl,FLY524_P1_dl,FLY526_P2_ul,FLY526_P1_ul,FLY526_P2_dl,FLY526_P1_dl
8.372085571,0.663406372,19.42913818,16.4185791,1.27583313,1.503005981,8.959533691,0.067016602
34.53509521,9.323974609,42.06463623,28.25976563,8.371520996,7.887817383,21.89099121,15.77392578
38.05236816,16.57104492,25.96710205,28.21533203,10.94262695,10.05310059,26.11193848,13.97436523
36.57141113,24.21582031,30.22943115,27.7043457,15.98199463,9.96472168,25.96710205,19.46191406
39.51275635,33.71655273,35.73321533,25.77148438,24.23010254,9.83215332,21.02197266,17.99560547
40.02697754,37.4284668,34.01586914,28.28198242,36.22174072,8.440185547,26.75335693,10.6862793
40.41778564,36.87609863,36.89190674,27.61547852,39.36877441,9.456542969,23.46350098,11.01953125
38.91625977,39.28442383,37.24365234,29.03735352,42.37182617,9.235595703,33.99517822,8.864501953
39.67730713,38.15759277,37.84368896,28.4375,43.21514893,9.920532227,28.9052124,10.06420898
40.43835449,37.71569824,34.98834229,26.9934082,31.10009766,9.942626953,27.78790283,10.70849609
40.02697754,37.07495117,35.98150635,28.32641602,32.12854004,9.83215332,20.64953613,10.21972656
39.61560059,39.21813965,38.71270752,27.26000977,39.5333252,9.8984375,24.08422852,9.553222656
41.28167725,36.19116211,35.6918335,27.28222656,41.67248535,9.169311523,22.98760986,7.709228516
41.89874268,41.02990723,39.04376221,27.54882813,44.05847168,7.269165039,24.6428833,10.86401367
41.87817383,41.44970703,39.4989624,27.26000977,44.49041748,8.594848633,23.89801025,9.553222656
40.91143799,42.95214844,39.00238037,27.23779297,43.21514893,9.014648438,25.32568359,8.575683594
41.38452148,40.03564453,39.16790771,27.10449219,36.28344727,7.644775391,28.16033936,6.220703125
41.03485107,37.11914063,38.96099854,26.92675781,37.82611084,8.329711914,23.33935547,7.442626953
40.50006104,38.26806641,38.73339844,27.30444336,38.23748779,8.705322266,31.88470459,9.553222656
41.93988037,41.09619141,39.89208984,26.88232422,38.71057129,7.976196289,30.60186768,12.99682617
42.88604736,38.82043457,41.7956543,26.63793945,34.53509521,9.500732422,9.37298584,9.175537109
42.68035889,39.50537109,39.04376221,29.48168945,37.49700928,9.147216797,19.44946289,10.01977539
43.44140625,38.90881348,39.68518066,30.5480957,38.44317627,8.219238281,23.36004639,10.28637695
40.43835449,42.57653809,39.99554443,29.65942383,37.90838623,9.235595703,24.58081055,10.28637695
40.41778564,40.69848633,44.34063721,29.68164063,38.21691895,9.25769043,22.86346436,14.32983398
40.02697754,38.95300293,48.16845703,30.32592773,24.168396,9.080932617,21.29095459,12.68579102
37.97009277,37.45056152,46.09936523,29.43725586,22.13208008,9.19140625,25.76019287,13.5078125
40.12982178,39.81469727,46.92700195,29.61499023,22.7902832,8.727416992,25.13946533,17.0625
39.65673828,40.43334961,48.2512207,30.5480957,25.69049072,8.086669922,22.86346436,18.28442383
40.31494141,38.02502441,48.45812988,30.32592773,35.9954834,7.887817383,24.43597412,11.66381836
38.34033203,37.95874023,47.4442749,30.99243164,36.24230957,7.71105957,25.63604736,15.59619141
38.77227783,40.2565918,42.08532715,30.30371094,35.9543457,8.705322266,33.47790527,11.70825195
42.88604736,39.57165527,40.9887085,30.5480957,38.95739746,8.086669922,32.38128662,12.24145508
40.12982178,39.21813965,43.16125488,31.70336914,39.019104,8.948364258,29.33972168,8.686767578
41.24053955,37.4284668,42.62329102,31.48120117,39.84185791,9.456542969,33.87103271,14.66308594
40.12982178,40.03564453,43.28540039,31.43676758,38.27862549,10.18566895,31.76055908,11.10839844
39.84185791,36.56677246,39.43688965,30.79248047,40.23266602,8.837890625,34.05725098,9.753173828
41.24053955,37.73779297,43.09918213,30.77026367,39.71844482,8.727416992,25.53259277,10.90844727
37.59985352,38.79833984,42.08532715,30.97021484,40.25323486,8.639038086,22.71862793,10.86401367
42.49523926,38.8425293,41.52667236,30.14819336,40.25323486,9.235595703,28.65692139,17.97338867
38.91625977,43.06262207,41.7956543,31.54785156,34.55566406,9.478637695,30.87084961,14.48535156
38.52545166,38.33435059,45.45794678,30.77026367,39.32763672,9.920532227,28.92590332,14.39648438
42.18670654,39.12976074,39.47827148,31.14794922,37.90838623,9.19140625,27.16717529,16.68481445
41.32281494,39.48327637,40.90594482,30.5925293,38.60772705,8.992553711,26.60852051,16.12939453
40.10925293,41.36132813,42.29223633,31.34790039,33.07470703,10.27404785,26.67059326,17.15136719
42.39239502,40.14611816,40.84387207,31.37011719,39.965271,10.18566895,25.49121094,14.17431641
43.4208374,38.62158203,39.12652588,29.81494141,38.71057129,9.323974609,22.32550049,15.52954102
39.61560059,37.67150879,43.4095459,30.21484375,35.27557373,8.616943359,16.59411621,15.12963867
42.26898193,40.23449707,39.70587158,32.14770508,39.4921875,8.064575195,13.03527832,10.90844727
40.29437256,38.70996094,40.49212646,30.10375977,39.61560059,9.544921875,4.096801758,15.21850586
42.24841309,41.27294922,43.20263672,29.72607422,36.9005127,9.058837891,24.60150146,12.55249023
40.08868408,38.24597168,43.69921875,30.79248047,36.40686035,8.992553711,27.84997559,11.88598633
40.19152832,37.25170898,41.09216309,30.74804688,39.67730713,7.799438477,26.60852051,13.75219727
40.91143799,37.7598877,43.637146,30.92578125,39.10137939,8.793701172,19.09771729,13.01904297
43.74993896,39.37280273,42.12670898,31.17016602,38.5871582,8.882080078,25.98779297,12.0859375
39.94470215,37.60522461,39.04376221,31.10351563,39.63616943,7.84362793,27.39477539,11.19726563
43.15344238,36.80981445,40.47143555,30.17041016,36.92108154,7.77734375,26.73266602,8.242431641
39.34820557,36.32373047,41.31976318,30.03710938,37.43530273,8.440185547,21.02197266,7.131591797
45.06634521,37.60522461,41.5680542,29.81494141,40.33551025,8.329711914,22.47033691,12.0859375
40.25323486,38.1796875,43.86474609,30.65917969,40.37664795,8.152954102,26.46368408,11.64160156
41.40509033,37.22961426,42.47845459,30.90356445,37.45587158,8.462280273,25.80157471,10.57519531
39.26593018,37.45056152,41.00939941,30.85913086,39.55389404,6.937744141,26.15332031,9.153320313
40.06811523,37.73779297,42.93365479,31.65893555,39.20422363,7.578491211,23.58764648,9.708740234
42.14556885,36.56677246,39.29205322,30.45922852,39.26593018,7.158691406,18.89080811,9.59765625
38.73114014,38.31225586,41.44390869,28.23754883,38.42260742,7.799438477,23.42211914,10.10864258
39.82128906,36.96447754,41.81634521,28.99291992,39.61560059,7.026123047,18.04248047,7.886962891
39.12194824,38.99719238,41.46459961,31.19238281,40.76745605,7.269165039,24.68426514,9.131103516
39.86242676,37.87036133,41.25769043,31.54785156,40.08868408,7.799438477,25.28430176,6.087402344
