flight_ts,offset_time,flight,lng,lat,vel_n,vel_e,vel_d,vel_comp,distance_travelled,flight_time,relative_height,height_msl,start_ts,end_ts,pi,provider,duration,target_phys_cell,dl_freq,ul_freq,handover_type,ho
Urban-Day1-P2,-190.616,,,,-0.011997032,-0.023024708,-5.2203075E-05,0.025962831,0,0,,12838.803,2021-05-24 07:10:44.588077,2021-05-24 07:10:44.594490,1,P2,0.006413,329,3350,21350,0,1
Urban-Day1-P2,-188.815,,,,-0.011955553,-0.0035869312,-0.0010936249,0.012529857,0,0,,12822.614,2021-05-24 07:10:46.829151,2021-05-24 07:10:46.830669,1,P2,0.001518,334,3350,21350,0,1
Urban-Day1-P2,-185.812,,,,-0.014787309,0.0036639355,0.003385001,0.015605997,0,0,,12820.638,2021-05-24 07:10:49.987405,2021-05-24 07:10:49.989237,1,P2,0.001832,329,3350,21350,0,1
Urban-Day1-P2,-131.79,,,,-0.00512893,0.0030363693,0.004156171,0.007266307,0,0,,14814.709,2021-05-24 07:11:43.257673,2021-05-24 07:11:43.261113,1,P2,0.00344,334,3350,21350,0,1
Urban-Day1-P2,-128.78,,,,0.0004213692,0.0028885491,0.005726331,0.0064274515,0,0,,9984.16,2021-05-24 07:11:46.416479,2021-05-24 07:11:46.418004,1,P2,0.001525,329,3350,21350,0,1
Urban-Day1-P2,-124.771,,,,0.002681176,0.0021524848,0.0004335215,0.0034655211,0,0,,546.04,2021-05-24 07:11:50.679588,2021-05-24 07:11:50.683165,1,P2,0.003577,334,3350,21350,0,1
Urban-Day1-P2,0.386,FLY524-01-F1,11.5671524758344,48.1482757641055,-0.0013587088,-0.006804937,-0.010147913,0.012293632,0.016557527170867,400,0,520.731,2021-05-24 07:27:37.545925,2021-05-24 07:27:37.548151,1,P2,0.002226,406,1600,19600,0,1
Urban-Day1-P2,21.421,FLY524-01-F1,11.5671581406915,48.148300967495,-0.027487557,-0.029274506,0.05086425,0.06480536,5.86976639184861,21500,40.5999984741211,557.853,2021-05-24 07:27:58.851878,2021-05-24 07:27:58.853704,1,P2,0.001826,488,1600,19600,0,1
Urban-Day1-P2,24.426,FLY524-01-F1,11.5671987766053,48.1483745192353,5.857897,1.9459699,0.27200544,6.1786523,14.6525910146911,24500,40.7000007629395,557.353,2021-05-24 07:28:01.636760,2021-05-24 07:28:01.638368,1,P2,0.001608,406,1600,19600,0,1
Urban-Day1-P2,37.452,FLY524-01-F1,11.567653588122,48.1492079608138,0.38137534,1.1652195,0.043420937,1.2268126,113.869728191735,37500,40.5,556.113,2021-05-24 07:28:14.703622,2021-05-24 07:28:14.705922,1,P2,0.0023,79,1600,19600,0,1
Urban-Day1-P2,43.266,FLY524-01-F1,11.5676594802755,48.1490944335148,-7.7113676,-3.0299568,0.12137246,8.286167,130.869117438737,43300,40.5999984741211,555.709,2021-05-24 07:28:20.613958,2021-05-24 07:28:20.615794,1,P2,0.001836,406,1600,19600,0,1
Urban-Day1-P2,75.421,FLY524-01-F1,11.5676432445632,48.1492803656548,7.1406555,1.738875,0.10636047,7.3500996,305.927660165888,75500,80.4000015258789,594.029,2021-05-24 07:28:52.839513,2021-05-24 07:28:52.841327,1,P2,0.001814,407,1600,19600,0,1
Urban-Day1-P2,91.454,FLY524-01-F1,11.567500163648,48.1488107062519,-6.432308,-2.1139994,0.040888365,6.770912,382.137712744868,91500,80.5,593.447,2021-05-24 07:29:08.570505,2021-05-24 07:29:08.576339,1,P2,0.005834,406,1600,19600,0,1
Urban-Day1-P2,92.454,FLY524-01-F1,11.5674715009054,48.1487520778908,-6.5480137,-2.1185756,0.028281301,6.8822703,388.99507549335,92500,80.4000015258789,593.345,2021-05-24 07:29:09.621911,2021-05-24 07:29:09.623879,1,P2,0.001968,407,1600,19600,0,1
Urban-Day1-P2,95.46,FLY524-01-F1,11.5673995934689,48.1485953468001,-2.350297,-0.7064256,0.14514558,2.4584548,407.28353450058,95500,80.4000015258789,593.147,2021-05-24 07:29:12.750207,2021-05-24 07:29:12.752119,1,P2,0.001912,406,1600,19600,0,1
Urban-Day1-P2,121.213,FLY524-01-F1,11.5675403066686,48.1489930918232,9.896586,2.8576336,0.20831257,10.303003,470.475132385167,121300,119.900001525879,632.045,2021-05-24 07:29:38.432519,2021-05-24 07:29:38.434459,1,P2,0.00194,488,1600,19600,0,1
Urban-Day1-P2,123.418,FLY524-01-F1,11.5676311674486,48.1491707183777,6.8980293,2.6070979,0.05867025,7.3744974,491.389066361527,123500,119.900001525879,632.012,2021-05-24 07:29:40.116562,2021-05-24 07:29:40.118702,1,P2,0.00214,407,1600,19600,0,1
